hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
תרום,966,284,1,0,0,0,65,517.3028304,13314,31.7825667,34.9815088,מועצה אזורית מטה יהודה,ישוב
מודיעין-מכבים-רעות,99171,294,365,1,1,2,54,44930,57133,31.8954236,34.9873159,עיר,עיר
צלפון,1095,168,1,0,0,0,60,586.383626,13314,31.8041263,34.9327461,מועצה אזורית מטה יהודה,ישוב
רמלה,79132,76,74,4,4,15,56,34839,9485,31.9257419,34.868026,עיר,עיר
שואבה,597,620,1,0,0,0,62,319.6995772,13314,31.7991564,35.0790886,מועצה אזורית מטה יהודה,ישוב
באר יעקב,31325,217,97,0,0,0,57,13109,6011,31.9477459,34.8407975,עיר,עיר
צרעה,936,208,1,0,0,0,67,501.2375098,13314,31.7627391,34.9686245,מועצה אזורית מטה יהודה,ישוב
לוד,85351,56,181,2,2,8,59,61449,11876,31.9535985,34.8911491,עיר,עיר
עין ראפה,1297,605,1,0,0,0,61,694.5567007,13314,31.7901732,35.1162744,מועצה אזורית מטה יהודה,ישוב
קרית יערים,6555,711,15,0,0,0,61,null,1359,31.8054662,35.0992853,עיר,עיר
צובה,621,724,1,0,0,0,61,332.5518176,13314,31.7826765,35.1206998,מועצה אזורית מטה יהודה,ישוב
אבו גוש,7942,71,27,0,0,0,56,2935,2973,31.8065162,35.1085953,עיר,עיר
אלישיב,715,27,1,0,0,0,61,396.2953616,3915,32.3802538,34.9092219,מועצה אזורית עמק חפר,ישוב
ראשון לציון,260453,41,22,6,6,17,58,156399,37722,31.9749608,34.7787412,עיר,עיר
בית זית,1621,-200,1,0,0,0,57,868.0619864,13314,31.7825806,35.1593248,מועצה אזורית מטה יהודה,ישוב
בית דגן,7823,148,31,0,0,0,55,9399,1385,31.9983838,34.8297841,עיר,עיר
תעוז,657,null,1,0,0,0,63,351.8301917,13314,31.8020367,34.9744581,מועצה אזורית מטה יהודה,ישוב
בת ים,128465,91,194,0,0,0,59,41559,6025,32.0131235,34.7453451,עיר,עיר
אלמגור,425,122,1,0,0,0,71,267.4856581,2002,32.9139417,35.603248,מועצה אזורית עמק הירדן,ישוב
אזור,13593,169,41,0,0,0,58,7392,1947,32.022503,34.8058962,עיר,עיר
תירוש,452,149,1,0,0,0,61,242.0506036,13314,31.750842,34.8860998,מועצה אזורית מטה יהודה,ישוב
חולון,197957,76,329,1,1,1,58,109757,12212,32.0136965,34.7850257,עיר,עיר
נטף,493,506,1,0,0,0,60,264.0065266,13314,31.8320125,35.0679987,מועצה אזורית מטה יהודה,ישוב
אור יהודה,38854,15,78,1,1,4,54,21543,1850,32.029023,34.8515218,עיר,עיר
גיזו,207,297,1,0,0,0,59,110.850597,13314,31.8041199,34.9380852,מועצה אזורית מטה יהודה,ישוב
יהוד מונוסון,31405,40,74,0,0,0,53,16192,7063,32.0321852,34.8869814,עיר,עיר
אפיקים,1488,24,1,0,0,0,65,936.5144963,2002,32.681369,35.5783318,מועצה אזורית עמק הירדן,ישוב
רמת גן,172486,37,264,0,0,0,66,103357,13711,32.0708345,34.8268585,עיר,עיר
תל־אביב–יפו,474530,17,1097,0,0,0,62,251302,42645,32.0881602,34.7956964,עיר,עיר
אשבל,141,23,1,0,0,0,71,66.81415115,8060,32.876801,35.3049739,מועצה אזורית משגב,ישוב
פתח תקווה,255387,31,579,5,5,18,60,107907,38690,32.0906419,34.8874427,עיר,עיר
אשדות יעקב איחוד,1011,-200,1,0,0,0,66,636.3011792,2002,32.6581629,35.5811432,מועצה אזורית עמק הירדן,ישוב
בני ברק,218357,390,201,1,1,4,65,36612,2349,32.0887183,34.8353594,עיר,עיר
בית ניר,616,663,1,0,0,0,60,112.1374474,7355,31.6472934,34.874131,מועצה אזורית יואב,ישוב
הרצליה,106741,479,293,0,0,0,63,53307,20456,32.1734707,34.8261063,עיר,עיר
אשדות יעקב מאוחד,693,362,1,0,0,0,66,436.1589707,2002,32.662065,35.5820015,מועצה אזורית עמק הירדן,ישוב
רמת השרון,48181,39,127,1,1,2,63,24643,12777,32.1353218,34.8317862,עיר,עיר
כפר הרי״ף,843,null,1,0,0,0,60,153.4608231,7355,31.7463333,34.7924638,מועצה אזורית יואב,ישוב
גבעת שמואל,28994,250,45,0,0,0,65,12201,1452,32.0779996,34.8517752,עיר,עיר
אשחר,1009,192,1,0,0,0,71,478.1239219,8060,32.8851173,35.3001894,מועצה אזורית משגב,ישוב
קריית אונו,43241,61,116,0,0,0,60,null,3122,32.0521514,34.8524764,עיר,עיר
שדה יואב,607,98,1,0,0,0,58,110.4990735,7355,31.6457313,34.6769569,מועצה אזורית יואב,ישוב
גבעתיים,61924,86,79,0,0,0,63,null,2856,32.070152,34.8092978,עיר,עיר
ורדון,267,90,1,0,0,0,60,48.60503033,7355,31.6635292,34.7821917,מועצה אזורית יואב,ישוב
נתניה,233104,28,517,5,5,15,62,89470,32644,32.3041939,34.8603758,עיר,עיר
כפר ורבורג,1114,54,1,0,0,0,60,634.9915462,2003,31.7199638,34.7241807,מועצה אזורית באר טוביה,ישוב
כפר יונה,29450,42,79,0,0,0,61,null,18285,32.3233058,34.9284807,עיר,עיר
חצור אשדוד,690,431,1,0,0,0,60,393.3071536,2003,31.7730925,34.7210185,מועצה אזורית באר טוביה,ישוב
פרדסיה,7421,52,12,0,0,0,62,null,3044,32.3078967,34.909329,עיר,עיר
נווה מבטח,673,61,1,0,0,0,62,383.6169737,2003,31.8059239,34.7410254,מועצה אזורית באר טוביה,ישוב
הוד השרון,65614,52,141,2,2,4,61,32203,31628,32.1460228,34.8915859,עיר,עיר
רעננה,80260,48,204,0,0,0,62,38922,21500,32.1896838,34.8640112,עיר,עיר
שדמה,586,48,1,0,0,0,66,338.5928049,1423,31.8330746,34.7403755,מועצה אזורית גדרות,ישוב
כפר סבא,101556,52,212,0,0,0,61,48728,24492,32.1802248,34.921053,עיר,עיר
קבוצת יבנה,940,50,1,0,0,0,62,327.4638584,3283,31.8138222,34.7190625,מועצה אזורית חבל יבנה,ישוב
כפר שמריהו,1951,31,6,0,0,0,63,null,2665,32.1858909,34.8261078,עיר,עיר
בן זכאי,1080,28,1,0,0,0,68,376.2350716,3283,31.8568839,34.729583,מועצה אזורית חבל יבנה,ישוב
כפר כמא,3500,209,29,0,0,0,71,1680,1256,32.7197687,35.4333256,עיר,עיר
רמות מנשה,1244,181,1,0,0,0,64,539.801158,18851,32.5978839,35.0576452,מועצה אזורית מגידו,ישוב
שבלי - אום אל-ר'נם,6370,178,28,0,0,0,66,null,2978,32.6858431,35.3968221,עיר,עיר
בית אורן,594,43,1,0,0,0,56,299.1936047,13678,32.730556,35.005556,מועצה אזורית חוף הכרמל,ישוב
איכסאל,15336,288,35,0,0,0,76,7291,2614,32.673073,35.3298125,עיר,עיר
דגניה ב',704,769,1,0,0,0,68,443.0821288,2002,32.6999198,35.5747095,מועצה אזורית עמק הירדן,ישוב
מגדל העמק,27088,205,177,3,3,11,68,9989,18285,32.6800668,35.2441377,עיר,עיר
חוקוק,646,416,1,0,0,0,71,406.578198,2002,32.8800375,35.4944564,מועצה אזורית עמק הירדן,ישוב
יפיע,19704,294,65,0,0,0,71,9074,3409,32.683597,35.2709737,עיר,עיר
בית העמק,743,-26,1,0,0,0,66,351.4829249,7403,32.9704922,35.1461366,מועצה אזורית מטה אשר,ישוב
נוף הגליל,44184,328,266,0,0,0,72,17354,60450,32.7253885,35.3497002,עיר,עיר
שער הגולן,515,-195,1,0,0,0,67,324.1296777,2002,32.6858143,35.6042877,מועצה אזורית עמק הירדן,ישוב
דבוריה,10831,306,33,0,0,0,67,5428,3402,32.6893614,35.3671203,עיר,עיר
