hebname,numberofpop,city_heights,busStations,num_fact,pol_fact,amount_of_pol,aqi_global,cars,trees,lat,lan,belogns,type
מנות,525.0,247.0,5.0,0.0,0.0,0.0,68.0,313.6895494,6874.0,33.0383637,35.1946918,מועצה אזורית מעלה יוסף,ישוב
פקיעין החדשה,624.0,540.0,9.0,0.0,0.0,0.0,71.0,372.8424336,6874.0,32.9830176,35.3227602,מועצה אזורית מעלה יוסף,ישוב
נווה זיו,1025.0,211.0,2.0,0.0,0.0,0.0,68.0,612.4414974,6874.0,33.0275858,35.1834948,מועצה אזורית מעלה יוסף,ישוב
מצפה הילה,437.2,435.0,6.4,0.0,0.0,0.0,70.0,261.22870346,6874.0,33.0358267,35.2443398,מועצה אזורית מעלה יוסף,ישוב
אבירים,310.0,36.0,2.0,0.0,0.0,0.0,71.0,185.2262107,6874.0,33.0386467,35.2871399,מועצה אזורית מעלה יוסף,ישוב
מתת,227.0,805.0,3.0,0.0,0.0,0.0,71.0,135.6333821,6874.0,33.0415441,35.3598303,מועצה אזורית מעלה יוסף,ישוב
נטועה,323.0,652.0,1.0,0.0,0.0,0.0,71.0,192.993762,6874.0,33.0649415,35.3233116,מועצה אזורית מעלה יוסף,ישוב
גרנות הגליל,267.0,347.0,1.0,0.0,0.0,0.0,70.0,159.5335442,6874.0,33.0595371,35.2496455,מועצה אזורית מעלה יוסף,ישוב
גיתה,296.0,199.0,1.0,0.0,0.0,0.0,70.0,176.8611513,6874.0,32.9672482,35.249074,מועצה אזורית מעלה יוסף,ישוב
אביאל,816.0,725.0,7.0,0.0,0.0,0.0,62.0,471.6992486,16768.0,32.5325097,34.9933907,מועצה אזורית אלונה,ישוב
"גבעת ניל""י",704.0,113.0,2.0,0.0,0.0,0.0,63.0,406.9562142,16768.0,32.5472691,35.0423428,מועצה אזורית אלונה,ישוב
עמיקם,741.0,82.0,6.0,0.0,0.0,0.0,61.0,428.3445372,16768.0,32.5638651,35.020477,מועצה אזורית אלונה,ישוב
עמיעוז,218.0,127.0,2.0,0.0,0.0,0.0,60.0,98.59332076,5304.0,31.24831,34.4139745,מועצה אזורית אשכול,ישוב
עין השלושה,353.0,100.0,1.0,0.0,0.0,0.0,59.0,159.648818,5304.0,31.3513501,34.400966,מועצה אזורית אשכול,ישוב
בארי,1071.0,7.0,1.0,0.0,0.0,0.0,60.0,484.3736117,5304.0,31.4241619,34.4911156,מועצה אזורית אשכול,ישוב
גבולות,421.0,116.0,1.0,0.0,0.0,0.0,61.0,190.4026997,5304.0,31.2111135,34.4652467,מועצה אזורית אשכול,ישוב
רעים,422.0,49.0,1.0,0.0,0.0,0.0,60.0,190.8549657,5304.0,31.3848038,34.4585901,מועצה אזורית אשכול,ישוב
ישע,426.0,119.0,2.0,0.0,0.0,0.0,60.0,192.6640159,5304.0,31.246415,34.4032541,מועצה אזורית אשכול,ישוב
מגן,540.0,119.0,2.0,0.0,0.0,0.0,60.0,244.2219891,5304.0,31.2990681,34.4289248,מועצה אזורית אשכול,ישוב
כרם שלום,220.0,88.0,1.0,0.0,0.0,0.0,59.0,99.49784587,5304.0,31.2277096,34.2839544,מועצה אזורית אשכול,ישוב
סופה,233.0,85.0,1.0,0.0,0.0,0.0,60.0,105.3772695,5304.0,31.2365143,34.3426422,מועצה אזורית אשכול,ישוב
חולית,210.0,81.0,1.0,0.0,0.0,0.0,59.0,94.9752203,5304.0,31.2318728,34.3265102,מועצה אזורית אשכול,ישוב
פרי גן,249.0,92.0,1.0,0.0,0.0,0.0,60.0,112.6134704,5304.0,31.2228545,34.3528747,מועצה אזורית אשכול,ישוב
תלמי יוסף,331.0,111.0,1.0,0.0,0.0,0.0,60.0,149.6990348,5304.0,31.2005275,34.3638285,מועצה אזורית אשכול,ישוב
דקל,392.0,558.0,3.0,0.0,0.0,0.0,60.0,177.2870751,5304.0,31.194067,34.3478622,מועצה אזורית אשכול,ישוב
שדי אברהם,360.0,86.0,1.0,0.0,0.0,0.0,60.0,162.8146594,5304.0,31.2121265,34.3358477,מועצה אזורית אשכול,ישוב
אבשלום,382.0,71.0,2.0,0.0,0.0,0.0,60.0,172.7644426,5304.0,31.1950932,34.3307877,מועצה אזורית אשכול,ישוב
יבול,352.0,85.0,1.0,0.0,0.0,0.0,60.0,159.1965589,5304.0,31.1887802,34.3203981,מועצה אזורית אשכול,ישוב
אוהד,409.0,309.0,2.0,0.0,0.0,0.0,60.0,184.9755421,5304.0,31.2377429,34.4304539,מועצה אזורית אשכול,ישוב
צוחר,452.0,135.0,3.0,0.0,0.0,0.0,60.0,204.4228494,5304.0,31.2360988,34.4270729,מועצה אזורית אשכול,ישוב
